datetime,open,high,low,close,volume
2025-08-12 11:05:31,30018.28859706711,30035.28780127407,30001.289392860144,30018.28859706711,289.0
2025-08-12 11:06:31,30018.28859706711,30037.038122433623,29937.20583209338,29955.91639957276,483.0
2025-08-12 11:07:31,29955.91639957276,30040.666673152617,29916.22041494542,30000.911063992902,81.0
2025-08-12 11:08:31,30000.911063992902,30067.327432373928,29991.00206470913,30057.399775436723,417.0
2025-08-12 11:09:31,30057.399775436723,30063.763942985774,29934.002835588235,29940.342218095553,292.0
2025-08-12 11:10:31,29940.342218095553,29955.274048831998,29847.575274360697,29862.4682678442,375.0
2025-08-12 11:11:31,29862.4682678442,29933.046559612714,29799.542303237824,29870.104503987972,93.0
2025-08-12 11:12:31,29870.104503987972,29871.39290881818,29849.93048855493,29851.218078745824,441.0
2025-08-12 11:13:31,29851.218078745824,29910.846310082863,29790.588797841014,29850.215025565103,55.0
2025-08-12 11:14:31,29850.215025565103,29854.165597239105,29795.38751718749,29799.331354585407,458.0
2025-08-12 11:15:31,29799.331354585407,29853.81574454331,29797.30758755399,29851.788414986673,346.0
2025-08-12 11:16:31,29851.788414986673,29914.649598227377,29835.425802573343,29898.26151259036,201.0
2025-08-12 11:17:31,29898.26151259036,29928.99075566834,29871.484472813703,29902.210179444937,53.0
2025-08-12 11:18:31,29902.210179444937,30029.56371343469,29842.4815105677,29969.700235418546,324.0
2025-08-12 11:19:31,29969.700235418546,30048.20155478881,29919.281415061163,29997.735569845892,89.0
2025-08-12 11:20:31,29997.735569845892,30004.043832388536,29939.928757421683,29946.226187989916,323.0
2025-08-12 11:21:31,29946.226187989916,29989.743372140314,29924.81833277084,29968.31972277105,397.0
2025-08-12 11:22:31,29968.31972277105,30007.638915313608,29871.658736114307,29910.902595935975,170.0
2025-08-12 11:23:31,29910.902595935975,29972.9429963663,29901.475445459382,29963.499268765438,157.0
2025-08-12 11:24:31,29963.499268765438,30021.46457905038,29902.547985507583,29960.507508139643,149.0
2025-08-12 11:25:31,29960.507508139643,29998.497848615672,29911.45611806771,29949.432415171723,151.0
2025-08-12 11:26:31,29949.432415171723,30031.783651285266,29826.434107172663,29908.673268838957,101.0
2025-08-12 11:27:31,29908.673268838957,29988.91145066166,29901.670884640473,29981.891924106174,162.0
2025-08-12 11:28:31,29981.891924106174,29987.54003665003,29966.98081618079,29972.627183394554,346.0
2025-08-12 11:29:31,29972.627183394554,29985.349445948097,29934.250589219973,29946.961957842334,186.0
2025-08-12 11:30:31,29946.961957842334,29979.271107381268,29893.59231946857,29925.87872274709,401.0
2025-08-12 11:31:31,29925.87872274709,29993.66029222432,29890.011963472687,29957.75532820595,418.0
2025-08-12 11:32:31,29957.75532820595,29984.76728641356,29952.650873508286,29979.65909956683,392.0
2025-08-12 11:33:31,29979.65909956683,30068.46672019129,29915.66171113387,30004.41648233012,292.0
2025-08-12 11:34:31,30004.41648233012,30048.81782830709,29985.895308702162,30030.280689180643,192.0
2025-08-12 11:35:31,30030.280689180643,30175.934329080756,30013.603065634925,30159.185117142464,468.0
